	Name	Square	Population	Workers	MeanMonthIncome	MeanMonthCost	MeanMonthSalary	GDP	CapitalInvestments	Funds	MineralsVolume	ManufactoreVolume	EnergyVolume	WaterVolume	AgricultureVolume	VegetableVolume	AnimalVolume	NewBuildingSquare	RetailOverturn	FinResult
63	Саратовская область	101.2	2463.0	1081.8	19825.0	15130.0	24738.0	655053.7	145465.0	1869085.0	30492.0	352459.0	96236.0	11208.0	134973.4	90455.5	44517.8	1210.1	333210.3	31396.0
64	Ульяновская область	37.2	1246.6	580.8	23133.0	16080.0	26254.0	328249.3	91808.0	776024.0	7096.0	256480.0	27120.0	8307.0	38461.6	24352.7	14108.9	976.6	178265.9	11166.0
66	Курганская область	71.5	845.5	338.6	20777.0	14144.0	25433.0	193895.1	22396.0	725992.0	3315.0	96670.0	20540.0	2856.0	38727.0	23603.0	15124.0	271.8	108661.6	-169365.0
67	Свердловская область	194.3	4325.3	2068.2	35289.0	29306.0	34760.0	1978055.7	337798.0	6177853.0	66980.0	1734335.0	235726.0	60330.0	79133.6	28755.9	50377.8	2144.0	1078233.8	260318.0
68	Тюменская область	1464.2	3692.4	2227.1	42082.0	27842.0	63789.0	5922073.3	2315132.0	26000867.0	5068914.0	1568613.0	318850.0	44790.0	79444.1	35715.4	43728.7	2468.5	876414.0	1162204.0
72	Челябинская область	88.5	3493.0	1732.9	23397.0	16226.0	32253.0	1260715.2	194745.0	3048722.0	63272.0	1360874.0	136982.0	34234.0	126281.0	47993.6	78287.4	1417.3	492409.0	170295.0
74	Республика Алтай	92.9	218.1	83.4	18411.0	11813.0	26316.0	46128.4	13111.0	131791.0	3593.0	4995.0	2822.0	356.0	10932.1	2199.4	8732.8	130.9	24371.4	19875.0
75	Республика Бурятия	351.3	984.5	382.7	25040.0	19288.0	32237.0	199225.5	41508.0	642667.0	25331.0	59164.0	26888.0	1512.0	15061.2	4341.6	10719.6	269.2	170864.5	13474.0
76	Республика Тыва	168.6	321.7	98.7	14048.0	7657.0	31251.0	52221.3	9342.0	99573.0	23347.0	370.0	4669.0	326.0	5710.0	904.9	4805.2	101.0	22139.9	6732.0
77	Республика Хакасия	61.6	537.5	235.6	21209.0	15992.0	33978.0	182434.1	22125.0	438167.0	52497.0	87250.0	47622.0	1455.0	14870.4	3445.4	11424.9	235.9	79163.2	14021.0
78	Алтайский край	168.0	2350.1	1008.5	22165.0	15697.0	22743.0	498789.1	84212.0	935963.0	6143.0	307970.0	45807.0	8069.0	125955.5	69182.6	56772.9	629.9	339235.3	36072.0
79	Забайкальский край	431.9	1072.8	467.3	23267.0	16471.0	34848.0	262801.9	91258.0	944432.0	82184.0	26309.0	31144.0	2842.0	22513.2	6047.6	16465.6	270.5	158173.1	10374.0
80	Красноярский край	2366.8	2876.5	1411.2	28047.0	20553.0	41117.0	1767908.2	424729.0	3604524.0	552416.0	990878.0	163533.0	28898.0	71934.7	26990.9	44943.8	1056.5	511024.3	487426.0
81	Иркутская область	774.8	2404.2	1096.1	22412.0	15523.0	38086.0	1068724.6	256892.0	2774291.0	455207.0	481866.0	111750.0	14309.0	61900.4	23555.8	38344.5	973.8	321971.7	233234.0
82	Кемеровская область	95.7	2694.9	1200.0	21849.0	15234.0	32648.0	858098.4	208126.0	2545178.0	899156.0	545842.0	96518.0	17251.0	48027.9	21757.9	26270.1	1000.3	355028.2	257398.0
83	Новосибирская область	177.8	2788.8	1340.7	25313.0	20159.0	32287.0	1084635.0	174985.0	2091267.0	50568.0	459489.0	59641.0	17522.0	81453.0	35099.5	46353.5	1729.1	473396.5	75530.0
84	Омская область	141.1	1960.1	895.3	25223.0	18457.0	29751.0	625918.1	99708.0	1087256.0	3165.0	791301.0	50397.0	8673.0	90419.0	46320.4	44098.6	458.2	316727.7	32970.0
85	Томская область	314.4	1078.3	496.1	24457.0	16479.0	37518.0	486987.5	95061.0	1253735.0	179063.0	155757.0	35969.0	7764.0	28753.4	8914.3	19839.0	477.6	146398.6	53021.0
87	Республика Саха (Якути	3083.5	964.4	492.1	39765.0	27458.0	62206.0	868607.0	384853.0	2208092.0	599620.0	34852.0	61133.0	5175.0	25288.8	8105.6	17183.1	633.8	212662.7	109618.0
88	Камчатский край	464.3	315.5	165.4	42342.0	24915.0	65807.0	198121.0	37111.0	540786.0	19729.0	99560.0	21588.0	2555.0	7915.6	3605.6	4310.0	66.7	53971.0	31290.0
89	Приморский край	164.7	1913.0	973.9	33155.0	24203.0	38045.0	736886.2	125700.0	3346264.0	19568.0	229130.0	62629.0	9476.0	44315.8	28966.3	15349.5	412.1	375032.5	41613.0
90	Хабаровский край	787.6	1328.3	690.9	37698.0	29788.0	42465.0	637656.3	117192.0	1623543.0	78459.0	244085.0	53619.0	6805.0	16790.1	9038.2	7751.8	269.7	307592.8	10800.0
91	Амурская область	361.9	798.4	390.6	30663.0	22379.0	37368.0	287594.3	186624.0	1072521.0	64359.0	31095.0	36087.0	2881.0	50419.9	36113.9	14305.9	181.6	161648.0	4409.0
92	Магаданская область	462.5	144.1	93.2	53633.0	29642.0	75710.0	146919.5	44184.0	280970.0	112749.0	4467.0	14541.0	854.0	2520.6	1287.8	1232.8	6.4	30929.8	18431.0
93	Сахалинская область	87.1	490.2	282.7	48727.0	35409.0	68496.0	767839.0	299467.0	2909469.0	693852.0	51842.0	16465.0	2662.0	10536.4	6586.9	3949.5	347.7	141532.5	50930.0
94	Еврейская автономная область	36.3	162.0	67.2	23386.0	16574.0	34409.0	46872.2	10455.0	252341.0	7593.0	6743.0	4209.0	446.0	5216.3	4273.2	943.1	50.4	22582.5	64.0
